,ts_code,EPS,SMR,EPS_Stability
300,300127.SZ,49.0,37.5,42.7
301,300142.SZ,5.4,58.8,82.4
302,300146.SZ,14.9,4.8,47.4
303,300174.SZ,53.0,11.5,62.2
304,300179.SZ,83.7,84.5,68.2
305,300183.SZ,16.7,25.0,24.8
306,300187.SZ,12.0,48.3,60.2
307,300188.SZ,54.1,72.9,68.0
308,300193.SZ,65.8,59.2,3.2
309,300194.SZ,22.8,91.0,63.5
310,300204.SZ,9.8,11.9,36.0
311,300211.SZ,57.8,14.0,36.8
312,300215.SZ,71.2,66.8,56.3
313,300223.SZ,93.6,74.3,66.5
314,300224.SZ,20.3,90.9,69.7
315,300231.SZ,28.8,58.1,10.2
316,300234.SZ,5.9,91.7,97.6
317,300253.SZ,29.7,72.2,56.4
318,300271.SZ,58.0,57.1,9.4
319,300285.SZ,82.7,61.3,49.8
320,300286.SZ,30.2,67.9,27.0
321,300289.SZ,10.0,12.9,41.1
322,300304.SZ,36.1,33.2,35.4
323,300310.SZ,4.0,66.0,84.1
